Date,Origin,Dest,fled
4/10/2015,Erbil,Basrah,0
4/10/2015,Erbil,Basrah,0
4/10/2015,Erbil,Muthanna,0
4/10/2015,Erbil,Muthanna,0
4/10/2015,Erbil,Muthanna,0
4/10/2015,Erbil,Qadissiya,0
4/10/2015,Erbil,Qadissiya,0
4/10/2015,Erbil,Qadissiya,0
4/10/2015,Erbil,Qadissiya,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Sulaymaniyah,0
4/10/2015,Erbil,Babylon,0
4/10/2015,Erbil,Babylon,0
4/10/2015,Erbil,Babylon,0
4/10/2015,Erbil,Babylon,0
4/10/2015,Erbil,Dahuk,0
4/10/2015,Erbil,Dahuk,0
4/10/2015,Erbil,Dahuk,0
4/10/2015,Erbil,Dahuk,0
4/10/2015,Erbil,Thi Qar,0
4/10/2015,Erbil,Thi Qar,0
4/10/2015,Erbil,Thi Qar,0
4/10/2015,Erbil,Thi Qar,0
4/10/2015,Erbil,Thi Qar,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Diyala,0
4/10/2015,Erbil,Erbil,0
4/10/2015,Erbil,Erbil,260
4/10/2015,Erbil,Erbil,0
4/10/2015,Erbil,Kirkuk,120
4/10/2015,Erbil,Erbil,0
4/10/2015,Erbil,Erbil,0
4/10/2015,Erbil,Erbil,0
4/10/2015,Erbil,Kerbala,0
4/10/2015,Erbil,Kerbala,0
4/10/2015,Erbil,Kerbala,0
4/10/2015,Erbil,Kirkuk,0
4/10/2015,Erbil,Kirkuk,0
4/10/2015,Erbil,Kirkuk,0
