,Date,Origin,Dest,fled
4930,2015-05-07,Babylon,Thi Qar,0
4931,2015-05-07,Babylon,Wassit,0
4952,2015-05-07,Diyala,Baghdad,8
4953,2015-05-07,Diyala,Basrah,0
4954,2015-05-07,Diyala,Dahuk,0
4955,2015-05-07,Diyala,Diyala,0
4956,2015-05-07,Diyala,Erbil,0
4957,2015-05-07,Diyala,Kerbala,1
4951,2015-05-07,Diyala,Babylon,3
4958,2015-05-07,Diyala,Kirkuk,0
4960,2015-05-07,Diyala,Muthanna,0
4961,2015-05-07,Diyala,Najaf,0
4962,2015-05-07,Diyala,Ninewa,0
4963,2015-05-07,Diyala,Qadissiya,10
4964,2015-05-07,Diyala,Salahal Din,0
4965,2015-05-07,Diyala,Sulaymaniyah,15
4959,2015-05-07,Diyala,Missan,0
4950,2015-05-07,Diyala,Anbar,0
4949,2015-05-07,Baghdad,Wassit,0
4948,2015-05-07,Baghdad,Thi Qar,0
4933,2015-05-07,Baghdad,Babylon,0
4934,2015-05-07,Baghdad,Baghdad,2
4935,2015-05-07,Baghdad,Basrah,0
4936,2015-05-07,Baghdad,Dahuk,0
4937,2015-05-07,Baghdad,Diyala,0
4938,2015-05-07,Baghdad,Erbil,0
4939,2015-05-07,Baghdad,Kerbala,3
4940,2015-05-07,Baghdad,Kirkuk,0
4941,2015-05-07,Baghdad,Missan,0
4942,2015-05-07,Baghdad,Muthanna,0
4943,2015-05-07,Baghdad,Najaf,0
4944,2015-05-07,Baghdad,Ninewa,0
4945,2015-05-07,Baghdad,Qadissiya,1
4946,2015-05-07,Baghdad,Salahal Din,0
4947,2015-05-07,Baghdad,Sulaymaniyah,178
4967,2015-05-07,Diyala,Wassit,0
4932,2015-05-07,Baghdad,Anbar,0
5038,2015-05-07,Salahal Din,Thi Qar,0
4714,2015-05-21,Kirkuk,Thi Qar,5
4700,2015-05-21,Kirkuk,Baghdad,0
4701,2015-05-21,Kirkuk,Basrah,0
4702,2015-05-21,Kirkuk,Dahuk,0
4703,2015-05-21,Kirkuk,Diyala,0
4704,2015-05-21,Kirkuk,Erbil,0
4705,2015-05-21,Kirkuk,Kerbala,0
4699,2015-05-21,Kirkuk,Babylon,0
4706,2015-05-21,Kirkuk,Kirkuk,0
4708,2015-05-21,Kirkuk,Muthanna,0
4709,2015-05-21,Kirkuk,Najaf,0
4710,2015-05-21,Kirkuk,Ninewa,0
4711,2015-05-21,Kirkuk,Qadissiya,2
4712,2015-05-21,Kirkuk,Salahal Din,0
