Date,death,gov
2018-02-17,1,Baghdad
2018-02-18,2,Baghdad
2018-02-19,3,Baghdad
2018-02-21,2,Baghdad
2018-02-22,2,Baghdad
2018-02-23,3,Baghdad
2018-02-24,2,Baghdad
2018-02-25,3,Baghdad
2018-02-26,1,Baghdad
2018-02-27,3,Baghdad
2018-02-28,1,Baghdad
2018-03-01,2,Baghdad
2018-03-02,3,Baghdad
2018-03-03,2,Baghdad
2018-03-04,3,Baghdad
2018-03-05,1,Baghdad
2018-03-06,3,Baghdad
2018-03-07,3,Baghdad
2018-03-08,2,Baghdad
2018-03-09,3,Baghdad
2018-03-10,1,Baghdad
2018-03-11,4,Baghdad
2018-03-12,2,Baghdad
2018-03-13,2,Baghdad
2018-03-15,1,Baghdad
2018-03-16,4,Baghdad
2018-03-17,1,Baghdad
2018-03-20,1,Baghdad
2018-03-24,9,Baghdad
2018-03-25,1,Baghdad
2018-03-27,1,Baghdad
2018-03-28,1,Baghdad
2018-03-29,1,Baghdad
2018-03-30,1,Baghdad
2018-03-31,1,Baghdad
2018-04-05,1,Baghdad
2018-04-08,1,Baghdad
2018-04-10,1,Baghdad
2018-04-11,1,Baghdad
2018-04-14,1,Baghdad
2018-04-17,1,Baghdad
2018-04-22,2,Baghdad
2018-04-23,1,Baghdad
2018-04-24,1,Baghdad
2018-04-27,1,Baghdad
2018-04-29,3,Baghdad
2018-04-30,1,Baghdad
2018-05-01,21,Baghdad
2018-05-03,1,Baghdad
2018-05-05,4,Baghdad
2018-05-06,2,Baghdad
2018-05-07,1,Baghdad
2018-05-13,1,Baghdad
2018-05-14,1,Baghdad
2018-05-16,7,Baghdad
2018-05-17,1,Baghdad
2018-05-19,2,Baghdad
2018-05-21,2,Baghdad
2018-05-24,5,Baghdad
2018-05-25,1,Baghdad
2018-05-28,1,Baghdad
2018-05-29,2,Baghdad
2018-05-30,1,Baghdad
2018-06-01,1,Baghdad
2018-06-02,1,Baghdad
2018-06-03,1,Baghdad
2018-06-06,20,Baghdad
2018-06-07,2,Baghdad
2018-06-09,1,Baghdad
2018-06-11,1,Baghdad
2018-06-12,1,Baghdad
2018-06-17,3,Baghdad
2018-06-19,2,Baghdad
2018-06-20,1,Baghdad
2018-06-21,1,Baghdad
2018-06-22,2,Baghdad
2018-06-29,1,Baghdad
2018-06-30,1,Baghdad
2018-07-01,2,Baghdad
2018-07-02,1,Baghdad
2018-07-03,2,Baghdad
2018-07-04,1,Baghdad
2018-07-06,2,Baghdad
2018-07-07,1,Baghdad
2018-07-09,1,Baghdad
2018-07-10,1,Baghdad
2018-07-11,1,Baghdad
2018-07-12,1,Baghdad
2018-07-13,1,Baghdad
2018-07-14,1,Baghdad
2018-07-16,1,Baghdad
2018-07-18,2,Baghdad
2018-07-19,3,Baghdad
2018-07-21,1,Baghdad
2018-07-23,1,Baghdad
2018-07-24,2,Baghdad
2018-07-25,5,Baghdad
2018-07-26,3,Baghdad
2018-07-27,1,Baghdad
2018-07-28,1,Baghdad
2018-07-29,2,Baghdad
2018-07-30,1,Baghdad
2018-07-31,3,Baghdad
2018-08-01,9,Baghdad
2018-08-02,1,Baghdad
2018-08-05,2,Baghdad
2018-08-06,1,Baghdad
2018-08-08,1,Baghdad
2018-08-11,1,Baghdad
2018-08-12,2,Baghdad
2018-08-13,1,Baghdad
2018-08-14,3,Baghdad
2018-08-16,1,Baghdad
2018-08-17,1,Baghdad
2018-08-18,1,Baghdad
2018-08-20,1,Baghdad
2018-08-23,1,Baghdad
2018-08-24,1,Baghdad
2018-08-25,2,Baghdad
2018-08-26,1,Baghdad
2018-08-27,1,Baghdad
2018-08-28,2,Baghdad
2018-08-29,1,Baghdad
2018-08-30,1,Baghdad
2018-09-02,3,Baghdad
2018-09-03,1,Baghdad
2018-09-04,1,Baghdad
2018-09-05,2,Baghdad
2018-09-06,1,Baghdad
2018-09-07,1,Baghdad
2018-09-10,7,Baghdad
2018-09-11,1,Baghdad
2018-09-13,1,Baghdad
2018-09-14,1,Baghdad
2018-09-15,1,Baghdad
2018-09-16,1,Baghdad
2018-09-17,1,Baghdad
2018-09-19,1,Baghdad
2018-09-21,1,Baghdad
2018-09-22,1,Baghdad
2018-09-23,2,Baghdad
2018-09-25,3,Baghdad
2018-09-26,1,Baghdad
2018-09-27,2,Baghdad
2018-09-30,2,Baghdad
2018-10-01,2,Baghdad
2018-10-02,3,Baghdad
2018-10-03,1,Baghdad
2018-10-04,1,Baghdad
2018-10-05,1,Baghdad
2018-10-06,3,Baghdad
2018-10-07,2,Baghdad
2018-10-09,1,Baghdad
2018-10-10,3,Baghdad
2018-10-11,3,Baghdad
2018-10-12,4,Baghdad
2018-10-13,2,Baghdad
2018-10-14,2,Baghdad
2018-10-15,1,Baghdad
