Date,death,dist,ADM3CODE,ADM3NAME
2008-11-25,2,Al-Daur,iq18011,Al-Daur
2008-11-26,6,Al-Daur,iq18011,Al-Daur
2008-11-28,1,Al-Daur,iq18011,Al-Daur
2008-12-24,1,Al-Daur,iq18011,Al-Daur
2009-01-21,6,Al-Daur,iq18011,Al-Daur
2009-02-14,2,Al-Daur,iq18011,Al-Daur
2009-04-05,1,Al-Daur,iq18011,Al-Daur
2009-05-17,1,Al-Daur,iq18011,Al-Daur
2009-05-30,3,Al-Daur,iq18011,Al-Daur
2009-08-25,1,Al-Daur,iq18011,Al-Daur
2009-11-08,1,Al-Daur,iq18011,Al-Daur
2010-01-30,3,Al-Daur,iq18011,Al-Daur
2010-03-13,2,Al-Daur,iq18011,Al-Daur
2010-04-15,14,Al-Daur,iq18011,Al-Daur
2010-05-08,4,Al-Daur,iq18011,Al-Daur
2010-06-09,1,Al-Daur,iq18011,Al-Daur
2010-06-17,1,Al-Daur,iq18011,Al-Daur
2010-06-25,11,Al-Daur,iq18011,Al-Daur
2010-06-28,2,Al-Daur,iq18011,Al-Daur
2010-07-01,1,Al-Daur,iq18011,Al-Daur
2010-08-04,1,Al-Daur,iq18011,Al-Daur
2010-09-05,5,Al-Daur,iq18011,Al-Daur
2010-09-07,3,Al-Daur,iq18011,Al-Daur
2010-09-16,3,Al-Daur,iq18011,Al-Daur
2010-09-28,1,Al-Daur,iq18011,Al-Daur
2010-10-19,3,Al-Daur,iq18011,Al-Daur
2010-10-21,1,Al-Daur,iq18011,Al-Daur
2010-11-07,2,Al-Daur,iq18011,Al-Daur
2010-11-13,1,Al-Daur,iq18011,Al-Daur
2010-11-30,2,Al-Daur,iq18011,Al-Daur
2011-02-12,37,Al-Daur,iq18011,Al-Daur
2011-02-25,7,Al-Daur,iq18011,Al-Daur
2011-04-16,1,Al-Daur,iq18011,Al-Daur
2011-04-21,7,Al-Daur,iq18011,Al-Daur
2011-05-09,1,Al-Daur,iq18011,Al-Daur
2011-05-26,3,Al-Daur,iq18011,Al-Daur
2011-06-11,9,Al-Daur,iq18011,Al-Daur
2011-08-09,2,Al-Daur,iq18011,Al-Daur
2011-08-28,1,Al-Daur,iq18011,Al-Daur
2011-10-14,4,Al-Daur,iq18011,Al-Daur
2011-11-09,3,Al-Daur,iq18011,Al-Daur
