fromGov,toGov,Date,numofFam,year,month,day,numofFamDiff
Babylon,Missan,2018-02-28,7,2018,2,28,0
Babylon,Ninewa,2018-02-28,5,2018,2,28,0
Babylon,Qadissiya,2018-02-28,10,2018,2,28,-4
Babylon,Thi-Qar,2018-02-28,7,2018,2,28,0
Diyala,Sulaymaniyah,2018-02-28,3847,2018,2,28,287
Kirkuk,Kirkuk,2018-02-28,15383,2018,2,28,-1081
Diyala,Wassit,2018-02-28,159,2018,2,28,0
Ninewa,Najaf,2018-02-28,6951,2018,2,28,-90
Ninewa,Ninewa,2018-02-28,113338,2018,2,28,-9184
Ninewa,Qadissiya,2018-02-28,1893,2018,2,28,-101
Ninewa,Salah al-Din,2018-02-28,887,2018,2,28,-37
Ninewa,Sulaymaniyah,2018-02-28,2472,2018,2,28,-25
Ninewa,Thi-Qar,2018-02-28,603,2018,2,28,-1
Ninewa,Wassit,2018-02-28,1490,2018,2,28,-33
Salah al-Din,Anbar,2018-02-28,45,2018,2,28,0
Salah al-Din,Babylon,2018-02-28,68,2018,2,28,0
Salah al-Din,Baghdad,2018-02-28,1635,2018,2,28,-210
Salah al-Din,Basrah,2018-02-28,432,2018,2,28,9
Salah al-Din,Dahuk,2018-02-28,63,2018,2,28,0
Ninewa,Muthanna,2018-02-28,235,2018,2,28,-6
Salah al-Din,Diyala,2018-02-28,3427,2018,2,28,-31
Salah al-Din,Kerbala,2018-02-28,26,2018,2,28,-5
Salah al-Din,Kirkuk,2018-02-28,4655,2018,2,28,-132
Salah al-Din,Missan,2018-02-28,65,2018,2,28,0
Salah al-Din,Muthanna,2018-02-28,32,2018,2,28,-7
Salah al-Din,Najaf,2018-02-28,19,2018,2,28,0
Salah al-Din,Ninewa,2018-02-28,761,2018,2,28,-5
Salah al-Din,Qadissiya,2018-02-28,27,2018,2,28,0
Salah al-Din,Salah al-Din,2018-02-28,28823,2018,2,28,-946
Salah al-Din,Sulaymaniyah,2018-02-28,9130,2018,2,28,-212
Salah al-Din,Thi-Qar,2018-02-28,52,2018,2,28,-3
Salah al-Din,Wassit,2018-02-28,260,2018,2,28,-4
Anbar,Anbar,2018-02-28,14301,2018,2,28,-321
Salah al-Din,Erbil,2018-02-28,3909,2018,2,28,-110
Ninewa,Missan,2018-02-28,299,2018,2,28,-18
Ninewa,Kirkuk,2018-02-28,3236,2018,2,28,-360
Ninewa,Erbil,2018-02-28,14301,2018,2,28,-360
Erbil,Baghdad,2018-02-28,11,2018,2,28,-6
Erbil,Erbil,2018-02-28,1244,2018,2,28,-25
Erbil,Kirkuk,2018-02-28,1,2018,2,28,0
Erbil,Ninewa,2018-02-28,96,2018,2,28,0
Kirkuk,Anbar,2018-02-28,40,2018,2,28,0
Kirkuk,Babylon,2018-02-28,1,2018,2,28,0
Kirkuk,Baghdad,2018-02-28,131,2018,2,28,-37
Kirkuk,Basrah,2018-02-28,132,2018,2,28,-3
Kirkuk,Dahuk,2018-02-28,6,2018,2,28,-1
Kirkuk,Diyala,2018-02-28,108,2018,2,28,0
Kirkuk,Erbil,2018-02-28,5369,2018,2,28,-283
Kirkuk,Kerbala,2018-02-28,46,2018,2,28,0
Kirkuk,Missan,2018-02-28,97,2018,2,28,0
Kirkuk,Muthanna,2018-02-28,18,2018,2,28,-1
Kirkuk,Najaf,2018-02-28,31,2018,2,28,0
Kirkuk,Ninewa,2018-02-28,2094,2018,2,28,-209
Kirkuk,Qadissiya,2018-02-28,280,2018,2,28,-8
Kirkuk,Salah al-Din,2018-02-28,5738,2018,2,28,-209
Kirkuk,Sulaymaniyah,2018-02-28,3020,2018,2,28,-7
Kirkuk,Thi-Qar,2018-02-28,102,2018,2,28,0
Kirkuk,Wassit,2018-02-28,151,2018,2,28,0
Ninewa,Anbar,2018-02-28,87,2018,2,28,0
Ninewa,Babylon,2018-02-28,2186,2018,2,28,-37
Ninewa,Baghdad,2018-02-28,5341,2018,2,28,-277
Ninewa,Basrah,2018-02-28,510,2018,2,28,-2
Ninewa,Dahuk,2018-02-28,59035,2018,2,28,-184
Ninewa,Diyala,2018-02-28,103,2018,2,28,0
Diyala,Thi-Qar,2018-02-28,11,2018,2,28,0
Ninewa,Kerbala,2018-02-28,6585,2018,2,28,-345
Diyala,Najaf,2018-02-28,19,2018,2,28,0
Erbil,Baghdad,2018-03-15,9,2018,3,15,-2
Baghdad,Diyala,2018-03-15,63,2018,3,15,2
Baghdad,Erbil,2018-03-15,909,2018,3,15,335
Baghdad,Kerbala,2018-03-15,25,2018,3,15,0
Baghdad,Kirkuk,2018-03-15,154,2018,3,15,-3
Baghdad,Missan,2018-03-15,27,2018,3,15,0
Baghdad,Muthanna,2018-03-15,29,2018,3,15,0
Baghdad,Najaf,2018-03-15,6,2018,3,15,0
Baghdad,Qadissiya,2018-03-15,64,2018,3,15,-1
Baghdad,Sulaymaniyah,2018-03-15,3312,2018,3,15,190
Baghdad,Thi-Qar,2018-03-15,7,2018,3,15,0
Baghdad,Wassit,2018-03-15,50,2018,3,15,-12
Diyala,Babylon,2018-03-15,19,2018,3,15,-9
Baghdad,Dahuk,2018-03-15,44,2018,3,15,0
Diyala,Baghdad,2018-03-15,431,2018,3,15,-26
Diyala,Diyala,2018-03-15,9041,2018,3,15,-275
Diyala,Erbil,2018-03-15,266,2018,3,15,35
Diyala,Kerbala,2018-03-15,27,2018,3,15,7
Diyala,Kirkuk,2018-03-15,665,2018,3,15,-34
Diyala,Missan,2018-03-15,16,2018,3,15,0
Diyala,Muthanna,2018-03-15,7,2018,3,15,0
Diyala,Najaf,2018-03-15,19,2018,3,15,0
Diyala,Qadissiya,2018-03-15,21,2018,3,15,-1
Diyala,Salah al-Din,2018-03-15,289,2018,3,15,0
Diyala,Sulaymaniyah,2018-03-15,3993,2018,3,15,146
Diyala,Thi-Qar,2018-03-15,11,2018,3,15,0
Diyala,Wassit,2018-03-15,146,2018,3,15,-13
Diyala,Basrah,2018-03-15,40,2018,3,15,-2
Salah al-Din,Wassit,2018-03-15,245,2018,3,15,-15
Baghdad,Basrah,2018-03-15,30,2018,3,15,0
Baghdad,Babylon,2018-03-15,85,2018,3,15,-1
Anbar,Erbil,2018-03-15,13017,2018,3,15,-496
Anbar,Kerbala,2018-03-15,124,2018,3,15,10
Anbar,Kirkuk,2018-03-15,1112,2018,3,15,-302
Anbar,Missan,2018-03-15,29,2018,3,15,0
Anbar,Muthanna,2018-03-15,56,2018,3,15,-13
Anbar,Najaf,2018-03-15,186,2018,3,15,-28
